batting_team,bowling_team,venue,overs,current_runs,wickets,last_5_overs_runs,total_score
SRH,PBKS,Jaipur,10.4,74,10,72,158
KKR,LSG,Chennai,12.5,110,10,42,178
RCB,RR,Bangalore,17.7,154,9,74,174
PBKS,RR,Hyderabad,17.8,176,9,56,196
RR,DC,Kolkata,9.8,90,8,67,175
MI,PBKS,Bangalore,15.2,98,7,58,145
GT,CSK,Ahmedabad,5.4,44,1,36,154
KKR,GT,Delhi,15.0,138,3,78,174
LSG,GT,Ahmedabad,5.8,43,3,33,146
GT,CSK,Bangalore,7.3,60,5,59,167
CSK,SRH,Delhi,1.1,10,3,61,172
RCB,LSG,Bangalore,7.2,64,9,30,148
RCB,GT,Ahmedabad,16.4,100,2,45,123
PBKS,SRH,Bangalore,9.0,60,6,73,133
DC,GT,Kolkata,6.2,56,8,62,179
LSG,RCB,Bangalore,17.5,122,8,30,144
GT,CSK,Chennai,2.6,17,1,75,121
RR,RCB,Chennai,2.3,14,5,77,160
LSG,CSK,Jaipur,18.5,139,9,42,149
CSK,DC,Chennai,1.4,12,1,53,192
PBKS,SRH,Hyderabad,8.9,70,7,50,179
MI,LSG,Kolkata,13.5,110,10,33,149
DC,GT,Bangalore,16.0,146,5,41,176
CSK,SRH,Bangalore,6.6,50,10,47,135
GT,KKR,Mumbai,10.7,75,9,69,161
SRH,CSK,Kolkata,13.8,112,5,76,162
PBKS,KKR,Jaipur,10.3,99,0,49,163
GT,SRH,Delhi,9.1,88,10,43,188
CSK,PBKS,Kolkata,2.1,20,7,73,155
MI,LSG,Kolkata,6.1,50,0,48,169
PBKS,SRH,Bangalore,10.9,67,5,59,136
GT,KKR,Delhi,4.7,38,1,48,145
RCB,PBKS,Ahmedabad,8.9,67,7,49,146
CSK,RCB,Chennai,19.3,177,5,73,181
RR,LSG,Bangalore,2.9,23,9,35,128
DC,MI,Bangalore,19.2,153,6,69,158
RR,CSK,Bangalore,19.4,135,8,75,140
MI,DC,Kolkata,5.7,35,8,69,139
CSK,DC,Jaipur,3.6,31,3,44,190
PBKS,DC,Bangalore,4.0,28,10,40,183
SRH,RCB,Mumbai,20.0,123,5,70,123
PBKS,DC,Kolkata,14.5,121,7,30,171
DC,RCB,Mumbai,13.6,105,7,43,147
LSG,SRH,Bangalore,5.3,32,8,51,178
KKR,LSG,Ahmedabad,12.5,93,5,36,165
DC,GT,Bangalore,11.3,75,8,71,156
CSK,SRH,Delhi,7.1,53,4,43,137
DC,RR,Hyderabad,14.0,124,3,69,181
SRH,KKR,Hyderabad,12.8,105,3,35,175
LSG,DC,Kolkata,4.5,35,6,38,183
KKR,LSG,Ahmedabad,4.9,35,2,60,158
SRH,CSK,Chennai,13.4,131,2,51,182
DC,CSK,Jaipur,12.8,115,0,49,171
LSG,PBKS,Jaipur,13.0,85,0,62,138
SRH,GT,Hyderabad,12.0,105,4,49,162
RR,RCB,Kolkata,5.0,34,2,37,181
GT,CSK,Delhi,8.2,66,7,37,159
KKR,RCB,Chennai,8.2,59,2,55,134
RR,PBKS,Ahmedabad,15.7,128,5,63,164
PBKS,KKR,Delhi,14.6,135,3,65,182
RR,LSG,Delhi,4.5,40,7,74,150
RR,RCB,Ahmedabad,4.8,30,5,48,150
GT,DC,Chennai,2.5,24,5,78,154
CSK,RR,Mumbai,9.6,79,6,48,164
PBKS,SRH,Delhi,2.5,16,3,43,178
SRH,GT,Delhi,6.1,55,4,30,172
PBKS,CSK,Chennai,14.4,90,1,68,132
RCB,GT,Jaipur,15.3,125,10,52,164
DC,SRH,Bangalore,17.9,138,9,59,158
DC,GT,Chennai,15.3,116,6,30,145
LSG,RCB,Hyderabad,1.4,13,0,52,173
MI,SRH,Jaipur,8.8,82,10,39,177
KKR,SRH,Jaipur,5.6,45,3,61,149
PBKS,KKR,Mumbai,19.2,137,2,68,144
LSG,CSK,Hyderabad,10.9,87,5,52,149
SRH,DC,Ahmedabad,1.3,9,6,37,122
DC,RCB,Jaipur,10.3,63,7,49,154
KKR,RCB,Delhi,5.5,44,7,68,155
PBKS,RCB,Delhi,9.4,61,4,39,131
PBKS,KKR,Jaipur,15.1,140,2,78,188
SRH,KKR,Delhi,17.8,173,9,31,192
RR,GT,Mumbai,2.2,17,0,40,135
RCB,DC,Bangalore,15.7,136,9,61,170
MI,KKR,Hyderabad,9.8,91,8,53,185
SRH,PBKS,Delhi,14.2,92,9,76,144
SRH,GT,Mumbai,16.6,138,10,69,159
RCB,RR,Ahmedabad,11.5,69,7,79,125
KKR,GT,Kolkata,11.8,103,5,79,177
SRH,MI,Kolkata,3.4,33,8,64,195
PBKS,RCB,Chennai,10.8,104,3,30,165
KKR,MI,Chennai,14.3,108,1,74,142
RCB,GT,Delhi,10.0,74,5,72,158
PBKS,GT,Bangalore,6.6,52,6,58,150
PBKS,KKR,Ahmedabad,13.7,110,8,70,150
PBKS,KKR,Bangalore,14.2,96,9,75,135
SRH,CSK,Chennai,4.0,26,4,38,154
GT,MI,Mumbai,13.3,129,8,77,178
CSK,DC,Mumbai,6.9,56,3,54,158
SRH,LSG,Delhi,10.8,73,2,65,161
PBKS,CSK,Chennai,6.4,51,5,66,171
LSG,CSK,Bangalore,14.2,128,8,57,184
KKR,PBKS,Delhi,6.0,57,9,30,144
CSK,KKR,Kolkata,16.7,154,8,59,182
PBKS,KKR,Delhi,13.6,135,1,59,193
LSG,DC,Ahmedabad,15.5,121,1,69,151
LSG,PBKS,Bangalore,13.8,134,6,70,188
LSG,MI,Bangalore,3.0,26,3,57,136
RCB,CSK,Chennai,19.9,160,0,55,160
CSK,RCB,Ahmedabad,5.2,38,7,63,137
CSK,SRH,Mumbai,15.4,153,6,69,181
SRH,KKR,Ahmedabad,13.2,81,4,47,148
DC,LSG,Delhi,6.3,60,3,77,174
DC,CSK,Jaipur,17.7,118,8,75,132
RCB,KKR,Bangalore,1.1,7,7,71,181
MI,SRH,Delhi,13.0,111,9,40,155
LSG,DC,Hyderabad,15.6,116,4,43,157
RCB,CSK,Chennai,3.4,24,0,44,182
LSG,PBKS,Chennai,17.1,153,8,35,173
LSG,RCB,Hyderabad,9.2,77,2,59,168
DC,MI,Hyderabad,16.5,133,2,72,159
GT,RR,Jaipur,15.2,121,2,75,156
KKR,RCB,Jaipur,1.3,8,2,30,166
PBKS,KKR,Chennai,15.2,150,1,59,197
CSK,RCB,Kolkata,1.2,8,4,39,184
PBKS,GT,Chennai,17.4,160,1,69,179
SRH,CSK,Bangalore,16.9,152,1,75,182
MI,CSK,Jaipur,1.8,15,5,30,146
SRH,LSG,Jaipur,1.2,7,7,57,186
LSG,RCB,Mumbai,7.3,69,10,44,164
MI,CSK,Chennai,8.9,61,5,79,170
KKR,PBKS,Hyderabad,10.7,70,5,76,141
GT,RCB,Hyderabad,12.9,82,6,47,139
LSG,KKR,Jaipur,4.7,40,8,44,159
MI,SRH,Chennai,18.1,149,8,55,161
RR,KKR,Ahmedabad,14.9,119,6,57,159
KKR,GT,Delhi,10.1,84,10,56,164
LSG,DC,Kolkata,17.2,133,6,61,153
DC,RCB,Bangalore,5.3,48,8,49,184
SRH,RR,Kolkata,4.4,37,6,64,157
SRH,RCB,Mumbai,9.5,77,9,53,169
GT,DC,Kolkata,1.6,12,3,47,163
CSK,GT,Delhi,12.0,93,6,64,166
RR,SRH,Hyderabad,13.5,105,1,33,147
MI,GT,Delhi,1.8,13,3,79,176
PBKS,RCB,Jaipur,10.0,68,9,46,134
MI,PBKS,Bangalore,12.6,113,6,38,169
DC,RR,Delhi,19.4,122,2,51,127
CSK,RCB,Delhi,11.7,85,3,56,145
DC,RCB,Delhi,6.3,51,0,46,142
PBKS,RCB,Jaipur,6.7,53,5,40,152
CSK,RR,Kolkata,10.8,100,5,55,158
LSG,KKR,Delhi,9.6,85,5,55,187
PBKS,DC,Bangalore,9.9,82,6,40,161
SRH,GT,Kolkata,9.7,59,7,50,134
KKR,PBKS,Delhi,4.0,34,3,42,174
SRH,PBKS,Hyderabad,5.5,41,0,38,164
DC,KKR,Hyderabad,16.4,153,0,33,175
GT,SRH,Jaipur,3.2,23,6,74,181
PBKS,MI,Jaipur,3.3,20,2,47,133
PBKS,RR,Delhi,4.1,34,4,43,166
GT,CSK,Chennai,2.4,20,9,69,145
MI,CSK,Chennai,10.4,102,7,45,173
LSG,KKR,Hyderabad,2.1,14,1,50,190
CSK,GT,Bangalore,18.4,132,10,77,144
RR,PBKS,Chennai,5.5,49,2,77,182
GT,RR,Delhi,13.8,122,2,55,183
CSK,DC,Chennai,1.1,8,1,58,179
RR,LSG,Ahmedabad,12.4,76,10,77,137
KKR,CSK,Hyderabad,8.7,60,6,62,136
LSG,SRH,Hyderabad,1.7,15,7,52,137
CSK,GT,Jaipur,15.5,146,7,75,175
GT,RCB,Chennai,2.5,16,9,67,122
LSG,SRH,Mumbai,3.6,33,1,66,131
KKR,PBKS,Bangalore,15.2,97,0,33,141
RCB,RR,Hyderabad,19.0,118,6,72,124
SRH,KKR,Kolkata,9.9,69,7,71,165
LSG,SRH,Ahmedabad,19.7,149,4,76,150
LSG,SRH,Bangalore,7.4,69,2,63,174
CSK,GT,Delhi,7.5,74,4,65,163
PBKS,SRH,Bangalore,4.8,37,3,78,136
SRH,GT,Bangalore,16.6,149,2,67,171
SRH,MI,Delhi,17.7,150,9,34,166
RR,RCB,Chennai,17.9,129,6,45,145
PBKS,LSG,Bangalore,15.4,146,1,64,185
GT,SRH,Chennai,14.4,90,1,50,130
PBKS,RR,Mumbai,4.4,34,0,55,189
SRH,KKR,Jaipur,1.9,11,8,48,147
SRH,PBKS,Chennai,15.6,96,10,42,126
GT,RCB,Ahmedabad,16.6,101,7,47,124
RCB,CSK,Delhi,17.9,146,4,48,165
CSK,MI,Chennai,14.1,105,6,32,152
KKR,LSG,Delhi,8.1,72,0,34,163
LSG,KKR,Jaipur,2.5,15,9,67,172
RCB,DC,Ahmedabad,17.6,167,7,34,183
CSK,RR,Ahmedabad,3.2,19,8,66,146
KKR,MI,Mumbai,16.5,115,5,71,141
PBKS,SRH,Bangalore,11.0,106,2,78,190
KKR,GT,Chennai,3.7,35,8,40,189
DC,KKR,Jaipur,9.2,65,10,49,132
RR,DC,Ahmedabad,10.0,85,5,67,182
PBKS,RCB,Hyderabad,6.4,44,1,44,168
DC,RR,Delhi,15.3,144,1,64,180
RCB,CSK,Kolkata,10.1,99,2,30,184
RR,DC,Ahmedabad,15.7,150,3,51,189
PBKS,MI,Hyderabad,17.7,130,3,77,144
LSG,GT,Kolkata,14.1,113,0,32,149
SRH,RCB,Bangalore,16.8,136,10,71,160
PBKS,DC,Mumbai,18.6,115,1,58,127
SRH,MI,Delhi,12.6,96,0,41,166
CSK,DC,Bangalore,2.9,17,5,31,138
DC,GT,Kolkata,13.6,85,8,31,131
MI,RR,Delhi,3.3,19,5,36,154
GT,DC,Kolkata,10.3,96,2,53,182
PBKS,RCB,Kolkata,18.4,138,6,43,151
RCB,CSK,Chennai,17.0,148,3,32,172
SRH,LSG,Mumbai,14.8,101,5,65,151
GT,DC,Chennai,12.6,83,1,57,135
GT,RR,Jaipur,15.4,149,7,35,194
RCB,PBKS,Kolkata,4.3,38,4,76,193
SRH,MI,Bangalore,11.8,117,7,42,170
DC,RR,Jaipur,18.8,148,2,67,158
LSG,RR,Bangalore,16.7,156,0,73,181
KKR,LSG,Ahmedabad,19.0,129,9,59,136
KKR,LSG,Chennai,3.1,26,0,70,181
DC,GT,Hyderabad,16.8,107,3,61,132
MI,CSK,Chennai,19.0,133,8,31,141
KKR,RCB,Chennai,1.5,11,2,43,167
MI,CSK,Delhi,17.7,170,8,49,189
CSK,MI,Bangalore,6.0,58,9,38,173
MI,RCB,Hyderabad,1.2,11,10,43,187
LSG,GT,Chennai,18.4,148,8,37,158
PBKS,LSG,Delhi,4.5,35,8,72,161
RCB,MI,Jaipur,16.0,113,3,56,137
PBKS,CSK,Ahmedabad,12.4,77,4,71,130
LSG,RR,Jaipur,3.3,32,2,60,179
LSG,PBKS,Bangalore,3.3,25,4,55,164
RR,KKR,Ahmedabad,14.9,119,2,73,162
PBKS,KKR,Kolkata,15.1,96,4,79,131
PBKS,GT,Mumbai,8.1,73,2,56,169
PBKS,RR,Ahmedabad,7.7,72,6,64,175
CSK,SRH,Mumbai,16.4,155,0,43,180
RR,RCB,Hyderabad,7.9,58,7,63,161
GT,CSK,Kolkata,9.5,78,2,49,167
RR,CSK,Mumbai,4.2,40,6,58,172
PBKS,MI,Hyderabad,16.3,150,10,73,177
SRH,RCB,Jaipur,17.9,118,9,53,138
CSK,PBKS,Hyderabad,13.9,120,10,40,158
KKR,LSG,Mumbai,13.0,81,9,78,145
DC,RCB,Ahmedabad,2.0,16,7,60,175
GT,PBKS,Hyderabad,8.0,51,1,55,158
DC,MI,Chennai,10.1,77,0,47,143
SRH,LSG,Delhi,8.4,59,10,48,156
KKR,GT,Hyderabad,15.5,121,0,62,152
MI,DC,Mumbai,7.0,43,1,76,131
LSG,PBKS,Chennai,17.2,162,7,62,179
DC,PBKS,Ahmedabad,12.9,106,9,67,157
MI,KKR,Kolkata,14.3,93,9,56,129
RR,RCB,Mumbai,15.6,130,9,69,167
LSG,GT,Bangalore,17.9,141,0,33,161
DC,RR,Hyderabad,3.7,30,5,78,161
RR,RCB,Mumbai,16.2,138,4,32,173
LSG,SRH,Jaipur,2.7,16,1,41,179
MI,DC,Kolkata,7.3,53,4,52,143
SRH,PBKS,Jaipur,13.0,104,3,59,152
GT,CSK,Hyderabad,3.2,22,9,70,154
RCB,PBKS,Bangalore,10.4,72,1,71,150
RR,SRH,Bangalore,5.8,50,0,76,166
SRH,MI,Kolkata,8.0,48,7,52,165
DC,LSG,Chennai,14.6,96,3,36,129
GT,SRH,Jaipur,14.8,111,9,75,149
LSG,GT,Kolkata,18.8,127,5,51,134
MI,SRH,Hyderabad,11.1,68,10,76,123
KKR,RCB,Delhi,9.4,73,10,72,146
LSG,KKR,Bangalore,1.8,16,10,44,177
CSK,DC,Mumbai,2.4,19,0,75,160
PBKS,RR,Chennai,4.7,30,0,73,168
PBKS,DC,Chennai,11.8,81,0,30,156
GT,DC,Bangalore,5.4,41,3,67,148
RCB,LSG,Kolkata,4.1,35,5,44,169
CSK,GT,Delhi,5.6,43,1,78,147
MI,CSK,Bangalore,2.9,20,3,70,137
LSG,KKR,Chennai,11.5,111,3,33,184
KKR,CSK,Hyderabad,3.6,33,6,44,139
MI,PBKS,Jaipur,5.6,49,2,75,145
GT,MI,Jaipur,17.0,138,1,36,167
RR,SRH,Mumbai,14.1,124,1,39,164
PBKS,KKR,Delhi,3.9,25,9,35,174
RR,SRH,Jaipur,9.9,96,0,77,192
MI,SRH,Chennai,18.1,150,3,62,162
GT,MI,Kolkata,14.2,121,4,46,157
PBKS,KKR,Jaipur,14.9,128,4,60,159
PBKS,LSG,Mumbai,9.0,70,1,32,150
KKR,RR,Jaipur,17.8,114,7,34,128
SRH,CSK,Bangalore,2.6,19,6,39,151
GT,PBKS,Delhi,2.0,12,2,76,140
DC,MI,Bangalore,14.0,99,6,69,143
KKR,RR,Kolkata,2.7,26,6,43,147
KKR,CSK,Delhi,15.4,126,5,32,163
LSG,KKR,Kolkata,2.8,20,4,72,132
RCB,LSG,Chennai,1.7,11,3,46,176
PBKS,DC,Delhi,17.9,122,10,40,134
KKR,RCB,Ahmedabad,6.7,56,4,47,179
RCB,GT,Bangalore,11.9,106,8,53,159
PBKS,LSG,Mumbai,1.9,12,2,61,120
LSG,KKR,Mumbai,16.4,118,9,62,151
RCB,RR,Kolkata,19.2,179,8,37,184
LSG,RCB,Jaipur,15.3,110,8,72,140
DC,RR,Jaipur,3.1,22,7,75,138
KKR,RR,Kolkata,3.7,28,4,52,138
RCB,RR,Delhi,17.1,161,4,66,181
LSG,KKR,Jaipur,14.0,90,6,37,133
GT,RCB,Hyderabad,19.0,160,2,40,168
PBKS,RCB,Bangalore,11.5,89,8,50,164
GT,LSG,Hyderabad,5.5,36,10,74,165
RCB,SRH,Chennai,12.7,125,1,59,189
DC,SRH,Bangalore,9.6,79,9,52,157
RR,CSK,Jaipur,18.0,165,9,72,177
KKR,RCB,Delhi,1.4,8,5,36,184
CSK,LSG,Jaipur,16.1,120,5,78,143
DC,CSK,Delhi,7.8,53,3,39,127
MI,SRH,Chennai,10.7,88,8,49,148
KKR,PBKS,Ahmedabad,6.2,44,9,71,177
PBKS,DC,Kolkata,12.0,115,5,54,169
MI,RCB,Mumbai,16.3,105,5,68,139
MI,CSK,Bangalore,19.8,165,7,33,166
CSK,LSG,Mumbai,12.6,103,5,65,156
DC,PBKS,Kolkata,15.1,105,2,67,141
KKR,GT,Ahmedabad,5.9,36,6,61,174
RCB,RR,Chennai,3.0,22,5,51,166
GT,LSG,Hyderabad,19.2,189,5,38,196
PBKS,CSK,Ahmedabad,11.0,70,8,64,155
PBKS,MI,Kolkata,16.8,140,0,67,171
DC,GT,Chennai,17.0,112,2,73,139
SRH,KKR,Bangalore,6.5,43,5,51,139
MI,KKR,Chennai,4.6,37,9,31,176
RR,RCB,Jaipur,11.8,104,4,64,157
KKR,PBKS,Bangalore,14.0,113,6,74,159
KKR,PBKS,Delhi,5.9,45,7,38,146
SRH,PBKS,Jaipur,12.3,84,9,30,130
GT,LSG,Mumbai,9.0,57,9,51,129
DC,RR,Jaipur,11.6,74,5,64,154
RR,DC,Hyderabad,1.7,16,10,46,180
MI,KKR,Kolkata,2.0,12,8,66,162
KKR,PBKS,Jaipur,8.8,75,1,39,178
RR,KKR,Mumbai,10.6,98,0,67,168
SRH,CSK,Bangalore,2.4,18,8,43,187
RCB,PBKS,Chennai,10.8,90,6,55,145
LSG,DC,Delhi,16.2,118,7,63,142
RR,RCB,Bangalore,7.7,50,2,37,126
MI,CSK,Jaipur,5.5,35,6,72,161
CSK,RR,Chennai,9.3,88,5,67,175
DC,SRH,Kolkata,9.0,55,9,30,148
GT,MI,Bangalore,3.6,28,9,52,154
SRH,KKR,Hyderabad,9.3,81,4,55,187
CSK,PBKS,Delhi,3.5,27,1,51,127
KKR,DC,Chennai,13.2,102,0,47,156
RR,LSG,Mumbai,7.8,60,8,52,167
SRH,RCB,Kolkata,19.3,179,2,43,184
PBKS,DC,Ahmedabad,13.0,113,0,72,178
RR,MI,Jaipur,14.3,129,10,52,168
CSK,RCB,Jaipur,1.4,9,9,32,171
KKR,LSG,Jaipur,9.5,90,4,43,190
LSG,DC,Chennai,6.6,42,8,73,147
MI,RCB,Chennai,11.7,86,0,35,155
GT,DC,Kolkata,4.2,31,0,50,143
SRH,CSK,Mumbai,6.5,54,5,44,172
PBKS,RR,Kolkata,18.7,112,4,64,122
GT,LSG,Ahmedabad,9.3,86,0,74,184
KKR,PBKS,Ahmedabad,1.4,12,1,30,192
MI,RCB,Bangalore,16.6,113,9,53,138
RR,MI,Jaipur,15.1,122,7,41,160
DC,RR,Ahmedabad,19.1,176,6,65,182
RCB,RR,Jaipur,11.3,86,10,57,149
LSG,KKR,Jaipur,12.2,77,6,77,128
PBKS,MI,Jaipur,6.9,49,6,53,163
KKR,GT,Delhi,13.5,128,9,52,178
PBKS,GT,Ahmedabad,5.8,51,9,43,156
RR,CSK,Ahmedabad,2.6,19,7,56,140
DC,PBKS,Delhi,1.2,10,2,78,177
SRH,RCB,Ahmedabad,12.0,97,9,49,169
SRH,PBKS,Bangalore,9.0,54,7,53,163
RCB,CSK,Jaipur,11.2,79,10,33,150
MI,LSG,Bangalore,9.5,57,3,73,123
KKR,CSK,Delhi,6.6,63,4,51,153
CSK,RCB,Mumbai,1.2,10,0,67,169
LSG,KKR,Mumbai,10.6,78,8,32,144
PBKS,GT,Hyderabad,8.5,56,4,32,163
RR,PBKS,Chennai,13.5,95,7,66,154
DC,CSK,Hyderabad,10.4,80,2,70,173
PBKS,GT,Jaipur,4.0,36,3,71,138
GT,RR,Chennai,10.3,93,6,51,181
PBKS,SRH,Jaipur,1.7,14,6,53,129
LSG,CSK,Bangalore,1.3,10,6,34,128
DC,KKR,Chennai,7.8,63,10,46,150
CSK,PBKS,Chennai,13.1,117,4,63,164
SRH,KKR,Ahmedabad,18.6,173,6,54,183
DC,RR,Mumbai,13.8,89,0,78,146
DC,PBKS,Ahmedabad,18.5,122,2,79,133
RCB,RR,Hyderabad,8.5,55,5,73,138
GT,RR,Delhi,15.4,147,3,79,184
LSG,KKR,Jaipur,8.4,65,1,78,138
MI,GT,Jaipur,19.3,178,2,43,182
GT,DC,Kolkata,9.3,81,3,63,174
DC,KKR,Jaipur,18.7,183,7,35,195
GT,DC,Mumbai,18.6,185,1,56,195
GT,CSK,Delhi,2.4,22,8,77,145
DC,CSK,Ahmedabad,5.7,42,10,74,179
DC,KKR,Ahmedabad,18.5,113,2,33,125
SRH,PBKS,Jaipur,13.8,96,8,76,139
GT,DC,Kolkata,6.9,63,10,45,156
DC,LSG,Delhi,14.5,120,9,53,164
RR,LSG,Mumbai,7.9,77,7,43,160
PBKS,MI,Kolkata,5.4,34,5,49,164
LSG,GT,Delhi,13.7,99,6,74,156
KKR,LSG,Kolkata,5.4,37,10,46,163
SRH,CSK,Jaipur,14.6,132,8,46,164
KKR,DC,Ahmedabad,8.0,66,2,77,140
LSG,GT,Bangalore,10.2,93,3,44,170
DC,RR,Jaipur,3.0,23,2,39,148
SRH,LSG,Hyderabad,19.4,151,7,33,156
KKR,CSK,Hyderabad,5.5,34,7,59,123
RR,SRH,Hyderabad,5.4,35,2,58,170
RCB,KKR,Kolkata,15.7,148,1,59,186
PBKS,LSG,Hyderabad,16.8,161,4,31,184
GT,DC,Kolkata,4.2,39,8,43,196
DC,SRH,Chennai,6.8,60,6,40,190
CSK,MI,Kolkata,15.0,103,4,44,133
GT,RR,Hyderabad,12.0,93,10,57,168
PBKS,DC,Jaipur,4.0,31,7,47,167
CSK,KKR,Bangalore,5.0,44,9,56,191
LSG,CSK,Bangalore,17.0,168,4,60,192
RCB,RR,Mumbai,19.9,157,2,30,157
GT,SRH,Delhi,1.5,12,7,31,155
KKR,PBKS,Delhi,6.0,45,0,42,170
GT,LSG,Chennai,13.2,102,0,61,155
DC,PBKS,Mumbai,9.1,63,5,40,143
CSK,RR,Bangalore,14.7,140,6,75,185
CSK,LSG,Delhi,15.6,146,4,43,188
CSK,LSG,Bangalore,11.3,77,4,32,130
CSK,MI,Kolkata,6.9,52,1,75,162
KKR,PBKS,Hyderabad,4.4,38,1,66,174
RR,SRH,Chennai,14.8,114,5,76,156
KKR,LSG,Kolkata,11.2,68,9,49,152
PBKS,LSG,Mumbai,7.6,63,7,73,171
RCB,LSG,Chennai,4.3,37,9,61,136
SRH,CSK,Ahmedabad,10.3,91,2,76,183
LSG,DC,Hyderabad,3.5,22,8,57,160
GT,LSG,Mumbai,19.0,126,10,57,133
SRH,KKR,Delhi,17.8,111,4,72,128
RR,GT,Mumbai,7.2,70,5,69,154
CSK,KKR,Delhi,4.3,42,2,72,165
MI,RCB,Mumbai,16.1,140,9,76,178
KKR,RR,Mumbai,18.5,120,0,74,133
KKR,MI,Kolkata,17.2,121,9,57,147
KKR,DC,Kolkata,10.1,90,4,69,159
LSG,RCB,Delhi,17.4,120,0,32,144
DC,RR,Jaipur,17.7,145,9,58,164
KKR,DC,Hyderabad,17.1,108,10,30,134
LSG,PBKS,Mumbai,19.7,128,4,58,130
PBKS,LSG,Chennai,10.4,70,2,34,130
